"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Vps411"	1.03318951849026e-27	0.377336459330044	0.399	0.187	2.43595092774447e-23	"4"	"Vps41"
"RP23-189L19.62"	1.11394292070772e-27	0.387300234546638	0.555	0.301	2.6263432241526e-23	"4"	"RP23-189L19.6"
"Impad11"	1.24956576820548e-27	0.432331507503781	0.49	0.256	2.94610121169806e-23	"4"	"Impad1"
"Arl6ip41"	1.25464119413765e-27	0.363026939851997	0.39	0.179	2.95806754341834e-23	"4"	"Arl6ip4"
"Zfp1061"	1.32188681054009e-27	0.383779046551737	0.377	0.172	3.11661253321036e-23	"4"	"Zfp106"
"Mpc2"	1.41614493406748e-27	0.345882346714844	0.685	0.401	3.3388449110509e-23	"4"	"Mpc2"
"Apc21"	1.4584665027824e-27	0.306125269938526	0.269	0.101	3.43862647361007e-23	"4"	"Apc2"
"Mrps161"	1.48372099846649e-27	0.355322478156227	0.49	0.245	3.49816899808445e-23	"4"	"Mrps16"
"March61"	1.68980293399284e-27	0.416117001459416	0.369	0.166	3.98404837747493e-23	"4"	"March6"
"Mfsd62"	1.79093060445715e-27	0.491179953451969	0.325	0.141	4.22247708612861e-23	"4"	"Mfsd6"
"RP23-284J4.2"	1.90924157903732e-27	0.410017637714265	0.358	0.159	4.5014188708963e-23	"4"	"RP23-284J4.2"
"Rpl92"	1.94122464546299e-27	0.324482636147353	0.963	0.776	4.5768253466081e-23	"4"	"Rpl9"
"Helz1"	2.18039772800405e-27	0.432625102751948	0.321	0.134	5.14072372331514e-23	"4"	"Helz"
"Gnl11"	2.25905872043356e-27	0.383932044366138	0.252	0.092	5.32618274516619e-23	"4"	"Gnl1"
"Romo11"	2.50164949997826e-27	0.327459475411322	0.588	0.318	5.89813902609873e-23	"4"	"Romo1"
"Cox6a1"	2.67828431533885e-27	0.390820301370662	0.944	0.727	6.31459093027441e-23	"4"	"Cox6a1"
"Dnajb61"	2.84181154447548e-27	0.423094884422104	0.332	0.144	6.70013907840984e-23	"4"	"Dnajb6"
"Larp4b1"	3.27293563309654e-27	0.459921666642406	0.443	0.223	7.71660034215171e-23	"4"	"Larp4b"
"Pole41"	3.46285395630299e-27	0.365956378025211	0.362	0.16	8.16437077277557e-23	"4"	"Pole4"
"Ehd3"	3.51621088228302e-27	0.394334583577058	0.293	0.117	8.29017039715867e-23	"4"	"Ehd3"
"Vdac3"	3.90898794796296e-27	0.398532131234393	0.586	0.33	9.21622088491227e-23	"4"	"Vdac3"
"Wdr71"	3.98195802118532e-27	0.428320505877549	0.271	0.105	9.38826242654862e-23	"4"	"Wdr7"
"Cacng71"	4.52566761730082e-27	0.482494958888087	0.273	0.109	1.06701665413101e-22	"4"	"Cacng7"
"Timm10b"	5.42547981711415e-27	0.407502529412727	0.425	0.209	1.279165376481e-22	"4"	"Timm10b"
"Cops61"	5.44258819928828e-27	0.332160818250059	0.497	0.254	1.2831990197462e-22	"4"	"Cops6"
"Clip32"	7.04789475391984e-27	0.485559822026127	0.586	0.325	1.66168214613168e-22	"4"	"Clip3"
"Tceal11"	7.41139716343031e-27	0.323252063770737	0.302	0.122	1.74738510922196e-22	"4"	"Tceal1"
"Elob1"	7.63998768207946e-27	0.350654745372053	0.92	0.645	1.80127989580387e-22	"4"	"Elob"
"Atp9a2"	8.36645871782092e-27	0.469428648492845	0.544	0.298	1.97255997190064e-22	"4"	"Atp9a"
"Cct8"	9.55481465763874e-27	0.319891509577756	0.38	0.174	2.25273865183149e-22	"4"	"Cct8"
"Sdhb"	1.00787615146974e-26	0.309611333288032	0.681	0.402	2.37626960232019e-22	"4"	"Sdhb"
"Atxn7l3b2"	1.05297074721544e-26	0.418043323313373	0.889	0.575	2.48258913070985e-22	"4"	"Atxn7l3b"
"Prmt21"	1.33812110441947e-26	0.449726089813194	0.273	0.108	3.15488812788978e-22	"4"	"Prmt2"
"Psma3"	1.48301246857733e-26	0.314494714956086	0.653	0.368	3.49649849716478e-22	"4"	"Psma3"
"RP23-252E4.21"	1.48789882534126e-26	0.437630746744883	0.28	0.114	3.50801906050709e-22	"4"	"RP23-252E4.2"
"Acyp2"	1.60703590952549e-26	0.289370932897345	0.432	0.207	3.78890856388825e-22	"4"	"Acyp2"
"AC107763.21"	1.82741762388973e-26	0.434884983867488	0.419	0.207	4.30850253184483e-22	"4"	"AC107763.2"
"Cltc1"	1.88944566764093e-26	0.36209780466825	0.44	0.217	4.45474605059702e-22	"4"	"Cltc"
"Nap1l11"	1.92501804811988e-26	0.417037935504638	0.419	0.203	4.53861505205224e-22	"4"	"Nap1l1"
"Sssca11"	2.55210393093573e-26	0.377906810814126	0.358	0.163	6.01709543796718e-22	"4"	"Sssca1"
"Fubp11"	2.59848946896315e-26	0.327265494255572	0.542	0.291	6.12645862097441e-22	"4"	"Fubp1"
"Gpr851"	2.68934155478628e-26	0.385079608000733	0.271	0.107	6.34066058371961e-22	"4"	"Gpr85"
"Ndufa31"	3.22787539635585e-26	0.37810011355138	0.798	0.523	7.61036182198819e-22	"4"	"Ndufa3"
"Ppig1"	3.96753931984854e-26	0.371115066482908	0.49	0.254	9.3542674544069e-22	"4"	"Ppig"
"RP23-357P12.1"	4.91907644246352e-26	0.352369273620995	0.349	0.156	1.15977065283962e-21	"4"	"RP23-357P12.1"
"Ppp2r5b"	5.43447710797448e-26	0.41479880260442	0.393	0.187	1.28128666774714e-21	"4"	"Ppp2r5b"
"Tmem2221"	5.67090492304344e-26	0.438117286434727	0.362	0.165	1.33702925370595e-21	"4"	"Tmem222"
"Kctd171"	6.91799964099569e-26	0.418013578053127	0.401	0.2	1.63105677535755e-21	"4"	"Kctd17"
"Dab1"	8.68734728283293e-26	0.479403305380989	0.293	0.122	2.04821586887352e-21	"4"	"Dab1"
"Gnai11"	9.08693073580289e-26	0.522743229906285	0.341	0.16	2.14242565958025e-21	"4"	"Gnai1"
"AC109220.51"	1.05022033820226e-25	0.396318143324502	0.518	0.287	2.47610449137947e-21	"4"	"AC109220.5"
"Kidins2202"	1.06025981777808e-25	0.310322779661361	0.427	0.21	2.49977457237537e-21	"4"	"Kidins220"
"Trim441"	1.22435403745759e-25	0.425558514754167	0.312	0.135	2.88665951411375e-21	"4"	"Trim44"
"Ypel51"	1.36620232247829e-25	0.37615601495632	0.284	0.117	3.22109521570706e-21	"4"	"Ypel5"
"Dnaja1"	1.53501328701413e-25	0.347631422312628	0.534	0.291	3.61910082679321e-21	"4"	"Dnaja1"
"Thoc11"	1.72343827241851e-25	0.329535840896428	0.26	0.1	4.06335041488111e-21	"4"	"Thoc1"
"Mapk8ip31"	1.84501917358784e-25	0.446172853366739	0.425	0.217	4.35000170556806e-21	"4"	"Mapk8ip3"
"Kpna61"	2.12755697880396e-25	0.461523086379993	0.258	0.102	5.01614108892611e-21	"4"	"Kpna6"
"Sqstm11"	3.52952272718604e-25	0.391676647301552	0.416	0.205	8.32155573388652e-21	"4"	"Sqstm1"
"Nipal31"	4.44497484011997e-25	0.482395334473559	0.308	0.135	1.04799171805509e-20	"4"	"Nipal3"
"Slc24a22"	4.58053669198053e-25	0.605150991407407	0.321	0.146	1.07995313586825e-20	"4"	"Slc24a2"
"Chd61"	4.72882991973636e-25	0.321465977769463	0.36	0.167	1.11491623017624e-20	"4"	"Chd6"
"Ap2s11"	5.10866243133892e-25	0.348425276949805	0.566	0.316	1.20446934143678e-20	"4"	"Ap2s1"
"Gdpd11"	6.3086452886845e-25	0.407070111528456	0.254	0.101	1.48738929971315e-20	"4"	"Gdpd1"
"Gsk3a1"	6.38531556154669e-25	0.428076607682167	0.291	0.123	1.50546584994586e-20	"4"	"Gsk3a"
"Ssbp31"	8.14206063245271e-25	0.565041249330991	0.291	0.122	1.91965363531337e-20	"4"	"Ssbp3"
"Cox5a1"	9.41409703903569e-25	0.318766006041906	0.273	0.109	2.21956165889344e-20	"4"	"Cox5a"
"RP23-269H21.11"	1.07562481733388e-24	0.347090578499758	0.646	0.384	2.53600063182809e-20	"4"	"RP23-269H21.1"
"Ndufs8"	1.25768462079281e-24	0.27551623741217	0.447	0.223	2.9652430304432e-20	"4"	"Ndufs8"
"RP23-366M19.11"	1.38406125476419e-24	0.2866486397559	0.733	0.456	3.26320122035753e-20	"4"	"RP23-366M19.1"
"Enah1"	1.64485829063842e-24	0.317259276074085	0.373	0.173	3.8780823918382e-20	"4"	"Enah"
"RP23-243E17.11"	1.81465450225718e-24	0.34176213702867	0.278	0.114	4.27841091997176e-20	"4"	"RP23-243E17.1"
"Akap91"	1.93701969166093e-24	0.339081537843066	0.542	0.304	4.56691132702897e-20	"4"	"Akap9"
"Timm17a1"	1.99769006595842e-24	0.336749118113563	0.657	0.391	4.70995386851018e-20	"4"	"Timm17a"
"Zmynd81"	2.00004014079976e-24	0.463183699850839	0.388	0.194	4.7154946399636e-20	"4"	"Zmynd8"
"Pds5b1"	2.26127187891738e-24	0.315158798427832	0.265	0.105	5.3314007089235e-20	"4"	"Pds5b"
"Mrps101"	2.48555717201437e-24	0.313746788257952	0.354	0.162	5.86019814445829e-20	"4"	"Mrps10"
"Rad23b1"	2.63196421746642e-24	0.332821990974378	0.399	0.195	6.20538203552058e-20	"4"	"Rad23b"
"Rab241"	2.84377557828647e-24	0.260903322176302	0.531	0.289	6.70476968092602e-20	"4"	"Rab24"
"Dzip31"	3.27854098745161e-24	0.410705256014602	0.254	0.101	7.72981608611466e-20	"4"	"Dzip3"
"Agtpbp11"	3.58418959963564e-24	0.439497584201674	0.308	0.137	8.45044381906096e-20	"4"	"Agtpbp1"
"Ttc331"	4.1395262626922e-24	0.322141011805254	0.267	0.108	9.75976106954941e-20	"4"	"Ttc33"
"Efr3b2"	4.46668054006452e-24	0.35252076231223	0.321	0.142	1.05310927093101e-19	"4"	"Efr3b"
"Setd31"	4.87315251762389e-24	0.338020190706585	0.43	0.219	1.14894316908018e-19	"4"	"Setd3"
"Scand1"	6.69124764365391e-24	0.296306002089281	0.568	0.325	1.57759545694428e-19	"4"	"Scand1"
"Pbx11"	7.19208185048846e-24	0.339585499923326	0.388	0.184	1.69567713788966e-19	"4"	"Pbx1"
"Fdx1"	7.81033972697803e-24	0.26942815572914	0.325	0.144	1.84144379742961e-19	"4"	"Fdx1"
"Mrpl411"	8.07985680526367e-24	0.324503872674192	0.555	0.316	1.90498783897702e-19	"4"	"Mrpl41"
"Vps281"	8.59067377627131e-24	0.363718734453264	0.527	0.294	2.02542315623149e-19	"4"	"Vps28"
"Pcdh191"	8.6220081746147e-24	0.368922644156987	0.265	0.107	2.03281086732891e-19	"4"	"Pcdh19"
"H2afy1"	9.84775456940088e-24	0.363938907728556	0.419	0.212	2.32180509482765e-19	"4"	"H2afy"
"Drap11"	1.14371947660803e-23	0.362025833546869	0.414	0.211	2.69654740999874e-19	"4"	"Drap1"
"Ppp2r2c2"	1.18029133224622e-23	0.480933660242099	0.538	0.309	2.78277287403692e-19	"4"	"Ppp2r2c"
"Ndufs2"	1.37255799924908e-23	0.351626688225617	0.547	0.321	3.23607999482955e-19	"4"	"Ndufs2"
"Pomp1"	1.47093861690842e-23	0.295019254305404	0.774	0.483	3.46803197708498e-19	"4"	"Pomp"
"Gas52"	1.53355608671218e-23	0.384050672751883	0.863	0.586	3.6156651856413e-19	"4"	"Gas5"
"Smap21"	1.66211207977209e-23	0.400577601238465	0.308	0.138	3.91876165047865e-19	"4"	"Smap2"
"Cct21"	1.79447456537389e-23	0.304244389795196	0.445	0.23	4.23083268278201e-19	"4"	"Cct2"
"Timm101"	1.99449583878712e-23	0.355179490422679	0.323	0.144	4.7024228391084e-19	"4"	"Timm10"
"Rab11fip41"	2.22234826953685e-23	0.306620173630555	0.291	0.123	5.23963051508702e-19	"4"	"Rab11fip4"
"Arid4a1"	2.35465401310251e-23	0.3080117680647	0.317	0.141	5.55156776669179e-19	"4"	"Arid4a"
"RP23-70J9.6"	2.57264372172572e-23	0.364807176910052	0.419	0.217	6.06552210271273e-19	"4"	"RP23-70J9.6"
"Socs51"	2.75103881882428e-23	0.444340067583255	0.265	0.111	6.48612422314200e-19	"4"	"Socs5"
"Hist3h2ba2"	2.85800764854381e-23	0.390675230493238	0.54	0.3	6.73832463297174e-19	"4"	"Hist3h2ba"
"Atp6ap2"	2.98816028672669e-23	0.293188728241549	0.347	0.16	7.04518550801551e-19	"4"	"Atp6ap2"
"Rfk"	3.02337196854468e-23	0.3293211448702	0.262	0.108	7.12820409023779e-19	"4"	"Rfk"
"Nrep"	3.29183154698801e-23	0.273971816321995	0.254	0.1	7.76115123833363e-19	"4"	"Nrep"
"Aktip1"	3.36126209438493e-23	0.400521256661443	0.349	0.166	7.92484763993135e-19	"4"	"Aktip"
"Cd472"	3.36562011020841e-23	0.403009531043046	0.62	0.375	7.93512253383837e-19	"4"	"Cd47"
"Prpf191"	3.58267000755955e-23	0.347645525497151	0.419	0.216	8.44686107682314e-19	"4"	"Prpf19"
"Vps29"	4.37781306266336e-23	0.293641269717878	0.531	0.295	1.03215698578414e-18	"4"	"Vps29"
"Ndufb7"	4.83604378832634e-23	0.321386960759602	0.744	0.467	1.1401940439737e-18	"4"	"Ndufb7"
"Ankrd121"	4.88360710913726e-23	0.327339829721464	0.555	0.317	1.15140804812129e-18	"4"	"Ankrd12"
"Zbed51"	4.99118625927197e-23	0.32051667369694	0.406	0.205	1.17677198434855e-18	"4"	"Zbed5"
"Ppp1cb"	5.19362330748438e-23	0.316337941501287	0.555	0.314	1.22450056720559e-18	"4"	"Ppp1cb"
"Pcdh101"	8.09068757413276e-23	0.440996202195085	0.373	0.184	1.90754140935328e-18	"4"	"Pcdh10"
"Lsm1"	8.91781496575926e-23	0.302206592361469	0.434	0.223	2.10255323447706e-18	"4"	"Lsm1"
"Dcun1d41"	9.12872259817202e-23	0.44362757147542	0.278	0.122	2.15227892697102e-18	"4"	"Dcun1d4"
"Kmt2a1"	9.13625662415837e-23	0.349073862937061	0.367	0.177	2.15405522427782e-18	"4"	"Kmt2a"
"Tm2d11"	9.78951065350537e-23	0.266243807167033	0.492	0.267	2.30807292677696e-18	"4"	"Tm2d1"
"Kmt2e"	9.938927666186e-23	0.326728534203942	0.529	0.298	2.34330097585667e-18	"4"	"Kmt2e"
"Cmip1"	1.24629566312246e-22	0.413058377398949	0.267	0.114	2.93839128494381e-18	"4"	"Cmip"
"Tomm40"	1.79701021137317e-22	0.277924107624362	0.371	0.179	4.23681097535452e-18	"4"	"Tomm40"
"Katnal11"	1.80928241809818e-22	0.363745442380654	0.262	0.11	4.26574515715007e-18	"4"	"Katnal1"
"Trmt112"	2.19724951042859e-22	0.346939938116527	0.291	0.129	5.18045517073749e-18	"4"	"Trmt112"
"Tia12"	2.25335996462248e-22	0.284003441807557	0.44	0.228	5.31274678859041e-18	"4"	"Tia1"
"Wdfy31"	2.28119038518461e-22	0.312850577462803	0.295	0.13	5.37836257114977e-18	"4"	"Wdfy3"
"Glyr11"	2.44891569791485e-22	0.322415909950466	0.41	0.209	5.77380854097384e-18	"4"	"Glyr1"
"Zmat21"	2.45462756088473e-22	0.313811699199267	0.438	0.233	5.78727540029792e-18	"4"	"Zmat2"
"Idnk1"	2.53359827650851e-22	0.352505921392099	0.382	0.192	5.97346465652411e-18	"4"	"Idnk"
"Ciapin1"	3.06545796317492e-22	0.288806656896269	0.362	0.173	7.2274302397775e-18	"4"	"Ciapin1"
"Rmnd5a1"	3.10041896851164e-22	0.430185552382296	0.269	0.117	7.3098578020599e-18	"4"	"Rmnd5a"
"Alkbh6"	3.27312144548497e-22	0.277476179494458	0.256	0.105	7.7170384320199e-18	"4"	"Alkbh6"
"Snx271"	3.31318878572366e-22	0.3740185766389	0.362	0.178	7.81150520010068e-18	"4"	"Snx27"
"Fyttd11"	3.42673317629617e-22	0.288603435889646	0.258	0.106	8.07920880975348e-18	"4"	"Fyttd1"
"AC131065.21"	3.69873308764551e-22	0.356460649974275	0.464	0.256	8.72050300074182e-18	"4"	"AC131065.2"
"Aars1"	4.29555479281372e-22	0.39608499643266	0.302	0.137	1.01276295350169e-17	"4"	"Aars"
"Ehmt11"	4.35971206675665e-22	0.36601617990909	0.328	0.153	1.02788931397922e-17	"4"	"Ehmt1"
"Hnrnpul21"	5.47303043825911e-22	0.422654357420453	0.349	0.173	1.29037638642835e-17	"4"	"Hnrnpul2"
"Dgcr21"	5.67333845004146e-22	0.385324349909919	0.349	0.17	1.33760300636627e-17	"4"	"Dgcr2"
"Eif1ad"	6.10748104690284e-22	0.341572432755417	0.271	0.117	1.43996080642828e-17	"4"	"Eif1ad"
"Anapc13"	6.36052268734087e-22	0.273729444042477	0.614	0.36	1.49962043399436e-17	"4"	"Anapc13"
"Ppp2r41"	6.66730120341587e-22	0.371317863815538	0.397	0.205	1.57194960472936e-17	"4"	"Ppp2r4"
"Tomm201"	6.87645740180599e-22	0.32759656749922	0.447	0.243	1.6212623616238e-17	"4"	"Tomm20"
"St13"	1.05645431289723e-21	0.290888163239388	0.412	0.213	2.49080233351781e-17	"4"	"St13"
"Aes1"	1.05903651337907e-21	0.342430476278608	0.651	0.405	2.49689038759383e-17	"4"	"Aes"
"Sae11"	1.07473266642225e-21	0.301177161981948	0.295	0.131	2.53389720762374e-17	"4"	"Sae1"
"AC157774.6"	1.10276138973001e-21	0.317874144357782	0.59	0.355	2.59998052856645e-17	"4"	"AC157774.6"
"Ids1"	1.19014232504753e-21	0.427381135683236	0.293	0.134	2.80599855976457e-17	"4"	"Ids"
"Eif4g31"	1.2418928954198e-21	0.274213620031352	0.516	0.292	2.92801087953127e-17	"4"	"Eif4g3"
"Oxct1"	1.24485669430424e-21	0.29112134816451	0.527	0.3	2.93499862816111e-17	"4"	"Oxct1"
"Psmd4"	1.32221105434009e-21	0.268498210634701	0.495	0.274	3.11737700281763e-17	"4"	"Psmd4"
"Smc61"	1.3498171422591e-21	0.304719630436043	0.401	0.206	3.18246387630428e-17	"4"	"Smc6"
"Rsl24d1"	1.36793351106908e-21	0.290811904008347	0.325	0.154	3.22517683904758e-17	"4"	"Rsl24d1"
"Mrpl301"	1.87334530899522e-21	0.251817811153131	0.555	0.32	4.41678623501804e-17	"4"	"Mrpl30"
"Ilf3"	1.97420096032559e-21	0.293051466269669	0.262	0.111	4.65457360415964e-17	"4"	"Ilf3"
"Znhit11"	2.10007689124628e-21	0.364651237637428	0.434	0.235	4.95135128649136e-17	"4"	"Znhit1"
"Tsnax1"	2.18790523367922e-21	0.383428976339348	0.347	0.171	5.1584241694455e-17	"4"	"Tsnax"
"Aurkaip1"	2.32810941447628e-21	0.267842587110199	0.525	0.3	5.48898356651072e-17	"4"	"Aurkaip1"
"Cfap361"	3.37874823606182e-21	0.335911146303149	0.427	0.23	7.96607471616294e-17	"4"	"Cfap36"
"Eif3h2"	3.43844141788835e-21	0.29469322639071	0.664	0.411	8.10681333095537e-17	"4"	"Eif3h"
"Eloc"	3.71493913056427e-21	0.319101107136105	0.56	0.335	8.75871198813138e-17	"4"	"Eloc"
"Brd31"	4.08458634288053e-21	0.331127775289024	0.325	0.153	9.63022922060943e-17	"4"	"Brd3"
"Gcc21"	4.21383888694557e-21	0.354272036058759	0.291	0.131	9.93496794375158e-17	"4"	"Gcc2"
"Rps212"	4.37323220424798e-21	0.296513316737388	0.852	0.58	1.03107695679555e-16	"4"	"Rps21"
"Vps4a"	4.6389076680955e-21	0.35413940406775	0.323	0.154	1.09371526090687e-16	"4"	"Vps4a"
"Klhdc2"	5.18866280304569e-21	0.308642043444017	0.299	0.137	1.22333102907408e-16	"4"	"Klhdc2"
"Ola11"	5.48834853352322e-21	0.38257247959899	0.267	0.118	1.29398793374877e-16	"4"	"Ola1"
"Hdac31"	5.60895916828341e-21	0.251006653504522	0.351	0.17	1.32242430310618e-16	"4"	"Hdac3"
"Zdhhc31"	5.77711162174698e-21	0.338426330677998	0.295	0.133	1.36206960705929e-16	"4"	"Zdhhc3"
"Sf3b21"	6.42386399848528e-21	0.321488989338751	0.514	0.298	1.51455441492287e-16	"4"	"Sf3b2"
"Coq71"	6.72671977897104e-21	0.383550699984079	0.356	0.179	1.585958722288e-16	"4"	"Coq7"
"Ppp2r2d1"	6.88917292147615e-21	0.352170820742783	0.31	0.147	1.62426029969643e-16	"4"	"Ppp2r2d"
"Nsfl1c"	7.27799010136377e-21	0.346420503497927	0.358	0.174	1.71593172619854e-16	"4"	"Nsfl1c"
"Tbcb"	8.0967577406802e-21	0.319767596428964	0.484	0.275	1.90897257252017e-16	"4"	"Tbcb"
"Dohh1"	8.25990303128741e-21	0.287452564517676	0.367	0.183	1.94743733768663e-16	"4"	"Dohh"
"RP23-105K2.3"	8.3939939442228e-21	0.30882638663408	0.28	0.124	1.97905195222941e-16	"4"	"RP23-105K2.3"
"RP24-261H7.9"	8.40444122285899e-21	0.286838332965471	0.731	0.464	1.98151510711346e-16	"4"	"RP24-261H7.9"
"Tenm42"	1.11100693524429e-20	0.4749528441637	0.293	0.139	2.61942105122546e-16	"4"	"Tenm4"
"Tom1l21"	1.13047320151927e-20	0.364806166603241	0.312	0.149	2.66531666722198e-16	"4"	"Tom1l2"
"Aplp21"	1.13204064882753e-20	0.349324925488876	0.705	0.448	2.66901223774068e-16	"4"	"Aplp2"
"Dnajc301"	1.14227526593007e-20	0.359889192938958	0.341	0.166	2.69314239448334e-16	"4"	"Dnajc30"
"Psmd21"	1.18831794432668e-20	0.316101665739864	0.403	0.214	2.80169721733902e-16	"4"	"Psmd2"
"Eif5b1"	1.19474769196613e-20	0.3041916053041	0.488	0.276	2.81685663334854e-16	"4"	"Eif5b"
"Zbtb381"	1.21072169926306e-20	0.365929155279451	0.39	0.202	2.85451855035252e-16	"4"	"Zbtb38"
"Pcnp1"	1.36371176270752e-20	0.351909764384738	0.375	0.194	3.21522322293551e-16	"4"	"Pcnp"
"Bclaf1"	1.49498393205148e-20	0.318485332773961	0.371	0.188	3.52472361659778e-16	"4"	"Bclaf1"
"Aff41"	1.50529343804457e-20	0.415626832383183	0.395	0.209	3.54903033887769e-16	"4"	"Aff4"
"Insig21"	1.57406576929365e-20	0.305365681247914	0.338	0.165	3.71117486426365e-16	"4"	"Insig2"
"Cops7a1"	1.57443254529743e-20	0.311288947508731	0.325	0.156	3.71203961204776e-16	"4"	"Cops7a"
"Cbr1"	1.95829066362737e-20	0.273269545980578	0.254	0.107	4.61706189763425e-16	"4"	"Cbr1"
"Bod1l"	1.96100937480988e-20	0.269949895323494	0.425	0.227	4.62347180298925e-16	"4"	"Bod1l"
"Eif3m1"	2.02048468651129e-20	0.35377604298886	0.356	0.178	4.76369674538766e-16	"4"	"Eif3m"
"Snrnp271"	2.77579747000379e-20	0.278631820896995	0.534	0.312	6.54449769502793e-16	"4"	"Snrnp27"
"Mff1"	3.88740636167307e-20	0.26614097084004	0.616	0.381	9.1653379789166e-16	"4"	"Mff"
"Hdhd2"	3.97929504941517e-20	0.309929056995399	0.453	0.256	9.38198393800614e-16	"4"	"Hdhd2"
"Lsm4"	4.97002597856309e-20	0.265337441055319	0.479	0.273	1.17178302496582e-15	"4"	"Lsm4"
"Minpp11"	4.98667072643417e-20	0.271165586742654	0.262	0.115	1.17570735717138e-15	"4"	"Minpp1"
"Rpl112"	5.72618233719276e-20	0.252160176147904	0.957	0.738	1.35006200963994e-15	"4"	"Rpl11"
"Abcc5"	6.30697394206159e-20	0.250174684325577	0.367	0.185	1.48699524631986e-15	"4"	"Abcc5"
"Map2k11"	6.75108511002966e-20	0.271648279856836	0.414	0.222	1.59170333639169e-15	"4"	"Map2k1"
"Fbxw21"	7.04044790876684e-20	0.315272826505639	0.445	0.248	1.65992640344996e-15	"4"	"Fbxw2"
"Snhg201"	7.3909430297865e-20	0.257220133111925	0.369	0.189	1.74256263813276e-15	"4"	"Snhg20"
"Mkln1"	7.48246893805156e-20	0.257444355990257	0.308	0.143	1.76414170152442e-15	"4"	"Mkln1"
"Fzr11"	7.84526771945089e-20	0.255893700168729	0.26	0.113	1.84967877021494e-15	"4"	"Fzr1"
"Hnrnph3"	8.49871631197629e-20	0.278066147423978	0.31	0.146	2.00374234487465e-15	"4"	"Hnrnph3"
"Camsap21"	8.81286444015458e-20	0.261096627445001	0.258	0.111	2.07780904905525e-15	"4"	"Camsap2"
"Cab392"	8.85480837044938e-20	0.415168875052746	0.39	0.211	2.08769816950085e-15	"4"	"Cab39"
"Oaz11"	9.19081264558088e-20	0.310463234309724	0.959	0.752	2.16691789744861e-15	"4"	"Oaz1"
"Ankrd462"	9.23324933128059e-20	0.34237284461829	0.399	0.216	2.17692319483603e-15	"4"	"Ankrd46"
"Azi2"	9.90074066605504e-20	0.268688878802297	0.275	0.124	2.3342976268358e-15	"4"	"Azi2"
"Acat1"	9.98156374682979e-20	0.292503973691617	0.338	0.165	2.35335328459006e-15	"4"	"Acat1"
"Dync1h12"	1.00977470080592e-19	0.368286726473342	0.482	0.28	2.38074581209011e-15	"4"	"Dync1h1"
"Akap8l"	1.01599327060211e-19	0.273837434894374	0.302	0.141	2.3954073340986e-15	"4"	"Akap8l"
"Pgrmc21"	1.63036794862211e-19	0.301269300496108	0.271	0.123	3.84391851246635e-15	"4"	"Pgrmc2"
"Blmh1"	1.93918122312689e-19	0.320570843914513	0.321	0.159	4.57200756976627e-15	"4"	"Blmh"
"Cacybp1"	1.94817305235781e-19	0.367796955993784	0.399	0.214	4.593207605544e-15	"4"	"Cacybp"
"Rfng1"	2.02872884115755e-19	0.307356123853538	0.267	0.12	4.78313398879716e-15	"4"	"Rfng"
"Aida1"	2.06907503760318e-19	0.287929280826228	0.278	0.126	4.87825821615701e-15	"4"	"Aida"
"Napa"	2.12389994055315e-19	0.310920236426909	0.477	0.275	5.00751888984217e-15	"4"	"Napa"
"Opa11"	2.36757576676964e-19	0.477998976770548	0.304	0.149	5.58203338531277e-15	"4"	"Opa1"
"Csde11"	2.4026344582425e-19	0.324393992422132	0.49	0.286	5.66469126219834e-15	"4"	"Csde1"
"Azin1"	2.61854767849287e-19	0.25126020867807	0.317	0.15	6.17374986158264e-15	"4"	"Azin1"
"Btbd31"	3.23458806768244e-19	0.392275757867126	0.312	0.152	7.62618828717489e-15	"4"	"Btbd3"
"Ndufa7"	3.25456815768016e-19	0.274887380649901	0.848	0.567	7.67329534536251e-15	"4"	"Ndufa7"
"Fam219a1"	3.45014100186131e-19	0.355889079112293	0.269	0.125	8.13439744008841e-15	"4"	"Fam219a"
"Arfgef1"	4.18122724703859e-19	0.346583337143958	0.28	0.132	9.85807948034289e-15	"4"	"Arfgef1"
"Cdadc11"	4.21208359320453e-19	0.303381780488333	0.33	0.165	9.93082948769833e-15	"4"	"Cdadc1"
"Mrpl131"	4.3606321090458e-19	0.310630422533668	0.286	0.134	1.02810623234973e-14	"4"	"Mrpl13"
"Pfdn6"	4.45372101227261e-19	0.318214798296871	0.408	0.223	1.05005380306351e-14	"4"	"Pfdn6"
"Nol71"	4.8499554251631e-19	0.282178074662861	0.475	0.275	1.1434739905907e-14	"4"	"Nol7"
"Nudt18"	5.59645313815497e-19	0.268891237473404	0.278	0.128	1.3194757563828e-14	"4"	"Nudt18"
"Rpl152"	6.18216003125615e-19	0.260291766099415	0.44	0.242	1.45756787056926e-14	"4"	"Rpl15"
"Cdk51"	6.23464459710369e-19	0.369606036834195	0.31	0.155	1.46994215665914e-14	"4"	"Cdk5"
"Snu131"	6.68152111663315e-19	0.286279133102909	0.466	0.268	1.5753022336686e-14	"4"	"Snu13"
"Pfdn52"	6.93813610460548e-19	0.291880386514232	0.846	0.598	1.63580434938284e-14	"4"	"Pfdn5"
"Sdhaf41"	6.98052808960597e-19	0.264366045654643	0.46	0.26	1.6457991076864e-14	"4"	"Sdhaf4"
