"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Fabp7"	2.09247507362447e-250	1.82022098848328	0.541	0.151	4.9334284810844e-246	"0"	"Fabp7"
"RP23-100C7.2"	2.70024460259541e-245	2.27471416367791	0.336	0.048	6.36636669953921e-241	"0"	"RP23-100C7.2"
"Pitpnc1"	7.40509028417427e-238	2.17442286023424	0.539	0.197	1.74589813629977e-233	"0"	"Pitpnc1"
"S1pr1"	3.11330036437409e-234	2.14105267424032	0.363	0.065	7.34022826908479e-230	"0"	"S1pr1"
"Cd63"	2.0640504141809e-233	1.78525481580792	0.65	0.3	4.8664116615143e-229	"0"	"Cd63"
"Adrbk2"	2.29814331002786e-232	2.32033614874867	0.379	0.077	5.41833248205269e-228	"0"	"Adrbk2"
"Baalc"	3.66677045860948e-229	2.35335827349995	0.463	0.138	8.64514471026358e-225	"0"	"Baalc"
"Prodh"	2.89501757667593e-225	1.99685565445009	0.287	0.033	6.82558294052884e-221	"0"	"Prodh"
"Igfbp2"	3.35858061574409e-217	1.79172960004032	0.312	0.042	7.91852551773985e-213	"0"	"Igfbp2"
"RP23-372C7.4"	4.80545660947128e-214	2.18251431960263	0.412	0.105	1.13298250481504e-209	"0"	"RP23-372C7.4"
"Fjx1"	1.17895887101941e-200	2.10206839751644	0.321	0.059	2.77963133020246e-196	"0"	"Fjx1"
"Adgrg1"	2.32992558539034e-198	2.22058079811493	0.485	0.182	5.49326555267481e-194	"0"	"Adgrg1"
"Abhd3"	1.46384782349087e-189	2.11659352456925	0.35	0.082	3.45131401344443e-185	"0"	"Abhd3"
"Mdk"	4.2337409167223e-189	1.88855384955816	0.352	0.077	9.98189095935616e-185	"0"	"Mdk"
"Kcnj10"	2.3771531994613e-188	1.77313639922164	0.629	0.351	5.60461409836992e-184	"0"	"Kcnj10"
"Tmem47"	2.32363370396467e-186	2.03707169519223	0.381	0.101	5.47843118383751e-182	"0"	"Tmem47"
"Thrsp"	1.1838076008389e-166	2.01113231335538	0.325	0.078	2.79106318049787e-162	"0"	"Thrsp"
"Lrig1"	3.50115351008479e-165	1.87356595905492	0.28	0.053	8.25466963072692e-161	"0"	"Lrig1"
"Tst"	3.89894970928345e-164	2.045137266158	0.407	0.141	9.19255372957758e-160	"0"	"Tst"
"Trim9"	1.2344200391359e-158	2.04859619041407	0.396	0.138	2.91039212627072e-154	"0"	"Trim9"
"RP23-313O9.1"	2.51952956172124e-156	1.72506648374579	0.253	0.042	5.94029484767017e-152	"0"	"RP23-313O9.1"
